ORDERDATE,ORDERNUMBER,ORDERLINENUMBER,PRODUCTCODE,PRODUCTLINE,QUANTITYORDERED,PRICEEACH,SALES
2/20/2004 0:00,10223,1,S10_1678,Motorcycles,37,100,3965.66
1/20/2005 0:00,10370,2,S18_4668,Vintage Cars,20,100,2730
12/17/2004 0:00,10361,13,S10_1678,Motorcycles,20,72.55,1451
11/21/2003 0:00,10193,5,S18_3320,Vintage Cars,32,79.37,2539.84
1/20/2005 0:00,10370,9,S18_3232,Classic Cars,27,56.85,1534.95
11/6/2003 0:00,10174,4,S10_1949,Classic Cars,34,100,8014.82
12/17/2004 0:00,10361,1,S24_4278,Planes,25,62.46,1561.5
7/19/2004 0:00,10270,9,S10_1949,Classic Cars,21,100,4905.39
3/9/2005 0:00,10391,4,S10_1949,Classic Cars,24,100,2416.56
11/4/2003 0:00,10169,8,S18_3782,Motorcycles,38,68.39,2598.82
2/2/2005 0:00,10374,5,S10_2016,Motorcycles,39,100,5288.01
4/29/2003 0:00,10120,2,S10_4698,Motorcycles,46,100,9264.86
5/9/2005 0:00,10415,3,S72_1253,Planes,42,57.61,2419.62
11/4/2003 0:00,10169,7,S18_4721,Classic Cars,33,100,4910.4
2/4/2004 0:00,10217,6,S700_2824,Classic Cars,31,88,2728
6/15/2004 0:00,10259,1,S24_1444,Classic Cars,28,46.82,1310.96
2/4/2004 0:00,10217,1,S24_2300,Trucks and Buses,28,100,3148.88
2/4/2004 0:00,10217,4,S10_4962,Classic Cars,48,100,7020.48
6/15/2004 0:00,10259,12,S10_4962,Classic Cars,26,100,4033.38
11/29/2004 0:00,10347,2,S10_4962,Classic Cars,27,100,4428
3/9/2005 0:00,10391,7,S10_4962,Classic Cars,37,46.9,1735.3
2/4/2004 0:00,10217,7,S32_3522,Trucks and Buses,39,62.05,2419.95
11/6/2003 0:00,10174,1,S12_1666,Trucks and Buses,43,100,6817.22
7/19/2004 0:00,10270,6,S12_1666,Trucks and Buses,28,100,4094.72
11/29/2004 0:00,10347,3,S12_1666,Trucks and Buses,29,100,3586.43
1/20/2005 0:00,10370,8,S12_1666,Trucks and Buses,49,100,8470.14
11/24/2004 0:00,10342,6,S24_3856,Classic Cars,42,100,5013.54
1/20/2005 0:00,10370,6,S18_4600,Trucks and Buses,29,57.53,1668.37
9/25/2003 0:00,10152,1,S18_4027,Classic Cars,35,100,4524.1
