ORDERDATE,ORDERNUMBER,ORDERLINENUMBER,PRODUCTCODE,PRODUCTLINE,QUANTITYORDERED,PRICEEACH,SALES
11/1/2004 0:00,10316,8,S24_3949,Planes,30,77.79,2333.7
5/7/2003 0:00,10121,5,S10_1678,Motorcycles,34,81.35,2765.9
5/26/2004 0:00,10252,5,S18_3782,Motorcycles,31,52.84,1638.04
11/11/2003 0:00,10180,9,S10_1678,Motorcycles,29,86.13,2497.77
9/30/2004 0:00,10299,1,S24_4620,Classic Cars,32,80.84,2586.88
5/13/2005 0:00,10417,3,S24_1578,Motorcycles,35,100,3550.05
1/6/2005 0:00,10364,1,S32_2206,Motorcycles,48,48.28,2317.44
7/23/2004 0:00,10275,1,S10_1678,Motorcycles,45,92.83,4177.35
2/17/2003 0:00,10106,5,S32_4289,Vintage Cars,33,72.92,2406.36
10/15/2004 0:00,10309,5,S10_1678,Motorcycles,41,100,4394.38
3/20/2004 0:00,10232,8,S18_3259,Trains,48,95.8,4598.4
2/21/2004 0:00,10224,1,S18_3782,Motorcycles,38,58.44,2220.72
5/13/2005 0:00,10417,2,S10_1678,Motorcycles,66,100,7516.08
5/28/2003 0:00,10126,11,S10_1949,Classic Cars,38,100,7329.06
4/12/2004 0:00,10239,1,S18_3232,Classic Cars,47,100,7083.37
10/15/2004 0:00,10309,6,S24_1578,Motorcycles,21,100,2650.62
1/6/2005 0:00,10363,1,S24_3856,Classic Cars,31,94.58,2931.98
9/28/2003 0:00,10153,2,S700_3505,Ships,50,88.15,4407.5
11/12/2003 0:00,10181,7,S18_3232,Classic Cars,45,100,6324.75
10/11/2004 0:00,10304,6,S10_1949,Classic Cars,47,100,10172.7
12/2/2004 0:00,10350,4,S700_1938,Ships,28,100,2924.32
11/7/2003 0:00,10177,10,S700_1938,Ships,31,88.34,2738.54
5/26/2004 0:00,10252,7,S50_4713,Motorcycles,48,72.41,3475.68
11/10/2004 0:00,10327,3,S700_3962,Ships,37,86.61,3204.57
11/14/2003 0:00,10184,4,S50_1392,Trucks and Buses,45,100,4948.2
11/18/2003 0:00,10188,4,S10_2016,Motorcycles,38,96.34,3660.92
7/23/2004 0:00,10275,2,S24_1578,Motorcycles,21,100,2153.76
8/17/2004 0:00,10280,7,S18_3320,Vintage Cars,34,100,3474.46
11/9/2004 0:00,10326,1,S700_1138,Ships,39,60,2340
5/26/2004 0:00,10252,4,S18_4721,Classic Cars,26,100,3559.4
11/20/2003 0:00,10191,6,S18_3278,Classic Cars,36,94.88,3415.68
4/8/2005 0:00,10403,1,S18_3782,Motorcycles,36,52.22,1879.92
5/13/2005 0:00,10417,5,S10_2016,Motorcycles,45,100,5887.35
11/7/2003 0:00,10177,4,S700_3505,Ships,44,92.16,4055.04
11/11/2003 0:00,10180,11,S10_4698,Motorcycles,41,100,8892.9
3/18/2003 0:00,10110,8,S18_4409,Vintage Cars,28,89.27,2499.56
3/15/2004 0:00,10230,6,S24_1444,Classic Cars,36,54.33,1955.88
1/2/2004 0:00,10208,11,S18_3259,Trains,48,100,5614.56
4/13/2004 0:00,10241,8,S24_1046,Classic Cars,22,76.43,1681.46
11/7/2003 0:00,10177,5,S700_3962,Ships,24,100,2526.48
4/8/2005 0:00,10403,9,S10_4698,Motorcycles,66,100,11886.6
1/6/2005 0:00,10363,9,S24_4620,Classic Cars,43,100,5154.41
2/11/2003 0:00,10105,2,S10_4757,Classic Cars,50,100,7208
4/28/2003 0:00,10119,11,S10_4757,Classic Cars,46,100,5004.8
7/23/2004 0:00,10275,13,S50_1341,Vintage Cars,38,45.39,1724.82
6/27/2003 0:00,10133,5,S24_1785,Planes,41,94.1,3858.1
12/2/2004 0:00,10350,8,S50_1392,Trucks and Buses,31,71.4,2213.4
2/11/2003 0:00,10105,9,S24_2011,Ships,43,100,6341.21
7/21/2004 0:00,10273,4,S10_4757,Classic Cars,30,100,3508.8
2/10/2005 0:00,10378,1,S32_2206,Motorcycles,40,82.46,3298.4
12/3/2003 0:00,10205,4,S24_2022,Vintage Cars,24,38.08,913.92
5/3/2005 0:00,10412,2,S24_1444,Classic Cars,21,52.6,1104.6
2/12/2004 0:00,10220,6,S32_3207,Trains,20,52.82,1056.4
11/5/2004 0:00,10325,6,S10_4757,Classic Cars,47,64.93,3051.71
2/3/2005 0:00,10375,9,S24_2000,Motorcycles,23,100,2443.29
11/5/2003 0:00,10173,8,S24_2022,Vintage Cars,27,41.22,1112.94
3/17/2005 0:00,10395,2,S10_4757,Classic Cars,32,100,3370.56
4/1/2003 0:00,10114,8,S10_4962,Classic Cars,31,100,4305.28
8/9/2004 0:00,10279,5,S24_1046,Classic Cars,32,74.96,2398.72
6/24/2004 0:00,10262,13,S700_2047,Ships,44,94.14,4142.16
2/16/2005 0:00,10380,6,S24_2766,Classic Cars,36,37.5,1350
11/9/2004 0:00,10326,2,S24_3816,Vintage Cars,20,92.25,1845
12/15/2004 0:00,10359,4,S50_1514,Trains,25,64.93,1623.25
5/10/2005 0:00,10416,1,S24_2000,Motorcycles,32,87.6,2803.2
5/3/2005 0:00,10412,6,S24_2840,Classic Cars,30,36.07,1082.1
9/16/2004 0:00,10297,6,S24_1785,Planes,32,100,4061.76
6/12/2003 0:00,10129,5,S700_1138,Ships,31,60,1860
3/18/2003 0:00,10110,12,S24_3191,Classic Cars,27,73.62,1987.74
2/10/2005 0:00,10378,9,S18_3782,Motorcycles,28,100,4609.64
8/30/2004 0:00,10287,6,S24_2972,Classic Cars,36,39.65,1427.4
5/28/2003 0:00,10126,1,S24_2300,Trucks and Buses,27,100,3415.77
6/24/2004 0:00,10262,2,S32_4289,Vintage Cars,40,79.11,3164.4
5/28/2003 0:00,10126,16,S18_3320,Vintage Cars,38,82.34,3128.92
6/1/2004 0:00,10253,13,S12_1099,Classic Cars,24,100,3922.56
11/20/2004 0:00,10336,4,S24_1444,Classic Cars,45,100,5972.4
8/30/2004 0:00,10287,12,S12_1099,Classic Cars,21,100,3432.24
5/8/2003 0:00,10122,16,S18_3782,Motorcycles,35,49.74,1740.9
10/16/2004 0:00,10310,10,S12_1099,Classic Cars,33,100,6934.62
11/3/2004 0:00,10320,3,S12_1099,Classic Cars,31,100,6876.11
11/24/2004 0:00,10341,2,S12_1099,Classic Cars,45,79.65,3584.25
1/6/2005 0:00,10363,3,S12_1099,Classic Cars,33,85.39,2817.87
4/8/2005 0:00,10403,3,S50_4713,Motorcycles,31,68.34,2118.54
2/12/2004 0:00,10220,7,S24_4048,Classic Cars,37,100,5032.74
11/5/2003 0:00,10173,14,S18_4409,Vintage Cars,21,75.46,1584.66
2/11/2003 0:00,10105,15,S12_1108,Classic Cars,41,100,8690.36
1/31/2005 0:00,10373,9,S72_1253,Planes,25,64.97,1624.25
9/28/2003 0:00,10153,11,S12_1108,Classic Cars,20,100,4904
11/6/2003 0:00,10176,2,S12_1108,Classic Cars,33,100,7474.5
7/21/2004 0:00,10273,14,S700_1938,Ships,21,100,2146.2
11/17/2004 0:00,10332,2,S18_4409,Vintage Cars,50,100,7310
3/19/2004 0:00,10231,2,S12_1108,Classic Cars,42,100,8378.58
10/5/2003 0:00,10301,3,S24_1628,Classic Cars,22,51.32,1129.04
12/2/2003 0:00,10203,3,S24_3856,Classic Cars,47,100,6996.42
9/9/2004 0:00,10293,8,S12_1108,Classic Cars,46,100,8411.56
