ORDERDATE,ORDERNUMBER,ORDERLINENUMBER,PRODUCTCODE,PRODUCTLINE,QUANTITYORDERED,PRICEEACH,SALES
11/23/2004 0:00,10339,5,S700_1138,Ships,22,100,2816.44
3/3/2003 0:00,10108,13,S32_2206,Motorcycles,27,43.45,1173.15
1/12/2004 0:00,10210,2,S10_2016,Motorcycles,23,100,3009.09
11/23/2004 0:00,10339,3,S10_4698,Motorcycles,39,76.67,2990.13
11/27/2003 0:00,10198,3,S24_3949,Planes,43,66.19,2846.17
3/3/2003 0:00,10108,6,S12_1099,Classic Cars,33,100,5265.15
3/3/2003 0:00,10108,1,S24_3856,Classic Cars,40,100,5448.8
4/16/2003 0:00,10117,9,S12_1108,Classic Cars,33,100,6034.38
10/22/2003 0:00,10165,3,S12_1108,Classic Cars,44,100,8594.52
1/26/2005 0:00,10372,6,S18_4027,Classic Cars,48,100,7031.52
11/27/2003 0:00,10198,6,S24_3420,Vintage Cars,27,71.67,1935.09
3/3/2003 0:00,10108,9,S18_3278,Classic Cars,26,68.35,1777.1
4/16/2003 0:00,10117,10,S12_3148,Classic Cars,43,100,5911.64
4/16/2003 0:00,10117,12,S18_4027,Classic Cars,22,100,2780.58
11/23/2004 0:00,10339,10,S24_1578,Motorcycles,27,84.39,2278.53
4/16/2003 0:00,10117,8,S12_3891,Classic Cars,39,100,5938.14
10/22/2003 0:00,10165,2,S12_3891,Classic Cars,27,100,5559.03
1/12/2004 0:00,10210,14,S700_2466,Planes,26,99.72,2592.72
1/12/2004 0:00,10210,12,S700_1691,Planes,21,78.55,1649.55
10/22/2003 0:00,10165,12,S12_4473,Trucks and Buses,48,100,6825.6
8/4/2004 0:00,10277,1,S12_4675,Classic Cars,28,100,3127.88
11/23/2004 0:00,10339,11,S24_3949,Planes,45,96.92,4361.4
11/16/2004 0:00,10330,3,S18_3482,Classic Cars,37,100,4405.22
11/23/2004 0:00,10339,16,S24_3816,Vintage Cars,42,59.36,2493.12
1/12/2004 0:00,10210,17,S18_1662,Planes,31,100,5719.5
3/3/2003 0:00,10108,5,S24_3371,Classic Cars,30,63.07,1892.1
3/3/2003 0:00,10108,2,S18_1889,Classic Cars,38,82.39,3130.82
3/2/2005 0:00,10387,1,S32_1374,Motorcycles,44,94.9,4175.6
4/13/2004 0:00,10240,2,S18_1984,Classic Cars,37,100,5526.32
1/12/2004 0:00,10210,13,S700_3167,Planes,31,86.4,2678.4
4/16/2003 0:00,10117,3,S24_2011,Ships,41,100,5189.78
3/3/2003 0:00,10108,16,S32_4485,Motorcycles,31,100,3669.78
11/23/2004 0:00,10339,12,S24_2841,Planes,55,100,6214.45
11/23/2004 0:00,10339,8,S700_4002,Planes,50,57.86,2893
10/22/2003 0:00,10165,18,S18_2432,Trucks and Buses,31,71.1,2204.1
1/26/2005 0:00,10372,3,S18_3140,Vintage Cars,28,100,3862.88
4/13/2004 0:00,10240,1,S18_3685,Classic Cars,37,100,5959.22
11/23/2004 0:00,10339,2,S18_2581,Planes,27,100,2810.7
4/16/2003 0:00,10117,4,S18_4522,Vintage Cars,23,97.42,2240.66
10/22/2003 0:00,10165,16,S18_3232,Classic Cars,47,100,8754.69
11/16/2004 0:00,10330,4,S18_4721,Classic Cars,50,100,6101
1/26/2005 0:00,10372,8,S24_2011,Ships,37,100,3910.53
3/3/2003 0:00,10108,15,S24_2360,Motorcycles,35,58.87,2060.45
9/19/2003 0:00,10150,10,S18_3136,Vintage Cars,26,100,2804.36
9/19/2003 0:00,10150,3,S700_2824,Classic Cars,20,100,2104
